Episode 339 done: steps = 290376, rewards = -20.0, consume time = 1395.4418103694916s
Episode 340 done: steps = 291218, rewards = -20.0, consume time = 1399.6748130321503s
Episode 341 done: steps = 292132, rewards = -21.0, consume time = 1404.3358070850372s
Episode 342 done: steps = 292952, rewards = -21.0, consume time = 1408.4991331100464s
Episode 343 done: steps = 293776, rewards = -21.0, consume time = 1412.6477670669556s
Episode 344 done: steps = 294559, rewards = -21.0, consume time = 1416.5817701816559s
Episode 345 done: steps = 295401, rewards = -20.0, consume time = 1420.8350071907043s
Episode 346 done: steps = 296244, rewards = -20.0, consume time = 1425.0406970977783s
Episode 347 done: steps = 297068, rewards = -21.0, consume time = 1429.2316460609436s
Episode 348 done: steps = 297938, rewards = -20.0, consume time = 1433.5312101840973s
Episode 349 done: steps = 298762, rewards = -21.0, consume time = 1437.7852251529694s
Episode 350 done: steps = 299586, rewards = -21.0, consume time = 1442.0035121440887s
Episode 351 done: steps = 300369, rewards = -21.0, consume time = 1446.0047001838684s
Episode 352 done: steps = 301221, rewards = -21.0, consume time = 1450.2747452259064s
Episode 353 done: steps = 302119, rewards = -20.0, consume time = 1454.8180980682373s
Episode 354 done: steps = 302962, rewards = -20.0, consume time = 1459.1195709705353s
Episode 355 done: steps = 303800, rewards = -20.0, consume time = 1463.3052442073822s
Episode 356 done: steps = 304643, rewards = -20.0, consume time = 1467.6030430793762s
Episode 357 done: steps = 305547, rewards = -20.0, consume time = 1472.1395001411438s
Episode 358 done: steps = 306385, rewards = -20.0, consume time = 1476.4186091423035s
Episode 359 done: steps = 307209, rewards = -21.0, consume time = 1480.4851830005646s
Episode 360 done: steps = 308061, rewards = -21.0, consume time = 1484.8165352344513s
Episode 361 done: steps = 308844, rewards = -21.0, consume time = 1488.829600095749s
Episode 362 done: steps = 309686, rewards = -20.0, consume time = 1493.0034210681915s
Episode 363 done: steps = 310512, rewards = -21.0, consume time = 1497.2271230220795s
Episode 364 done: steps = 311337, rewards = -21.0, consume time = 1501.2892851829529s
Episode 365 done: steps = 312190, rewards = -21.0, consume time = 1505.486840248108s
